#,case_id,product,d_type,supplier,jira_request,required_by,received_date,m_lead_time_in_weeks,m_lead_time_in_days,item_type,next_delivery_date,d_created,updated,location,total_amount,tax_amount
1,PO20-7590_8000777,M4 x 0.7 (3mm max) NUTSERT 9408,Advanced Purchase,0744da444f47f3deab084c0ec61dae34,,11/12/2020,,0,0,,,2020-12-08 00:00:00.000000,2020-12-11 10:23:45.943000,UK/Banbury/Main stores,55.074,9.179
2,PO19-3502_1007927,INT TRANSDUCER ASSY,Advanced Purchase,790b4ba972be8fb546faf6e3483a8a6b,,16/12/2019,6/5/2020,,,,,2019-11-19 00:00:00.000000,2020-07-07 05:50:38.300000,UK/Banbury/Main stores,250,
3,PO19-3534_1015742,STRUCTURE KEYSTONE LOWER,Advanced Purchase,154244e2560a620fa80f68f052a10c2f,,13/12/2019,24/2/2020,,,,,2019-11-20 00:00:00.000000,2020-07-07 05:50:39.413000,UK/Banbury/Main stores,191.0833333333333333,
4,PO19-3534_1013726,Structure gusset lower CTR,Advanced Purchase,154244e2560a620fa80f68f052a10c2f,,13/12/2019,24/2/2020,0,0,,,2019-11-20 00:00:00.000000,2020-07-07 05:50:39.413000,UK/Banbury/Main stores,191.0833333333333333,
5,PO19-3534_1015800,STRUCTURE GUSSET LOWER CTR B,Advanced Purchase,154244e2560a620fa80f68f052a10c2f,,13/12/2019,24/2/2020,0,0,,,2019-11-20 00:00:00.000000,2020-07-07 05:50:39.413000,UK/Banbury/Main stores,191.0833333333333333,
6,PO19-3541_1006517,PANIC BUTTON SWITCH ELEMENT,Advanced Purchase,55d3de106151483b63f68fe9b0d82e97,,13/1/2020,22/1/2020,,,,,2019-11-21 00:00:00.000000,2020-07-07 05:50:40.810000,UK/Banbury/Main stores,17.215,2.8691666666666667
7,PO19-3541_1003385,PANIC BUTTON,Advanced Purchase,55d3de106151483b63f68fe9b0d82e97,,13/1/2020,22/1/2020,,,,,2019-11-21 00:00:00.000000,2020-07-07 05:50:40.810000,UK/Banbury/Main stores,17.215,2.8691666666666667
8,PO19-3541_1006516,PANIC BUTTON HOLDER,Advanced Purchase,55d3de106151483b63f68fe9b0d82e97,,13/1/2020,22/1/2020,,,,,2019-11-21 00:00:00.000000,2020-07-07 05:50:40.810000,UK/Banbury/Main stores,17.215,2.8691666666666667
9,PO19-3580_1008627,SUSPENSION RIDE HEIGHT SENSOR,Advanced Purchase,b8626a3f1b1b1093ca264cb154873cfc,,4/12/2019,17/12/2019,,,,,2019-11-25 00:00:00.000000,2020-07-07 05:50:42.710000,UK/Banbury/Main stores,86.084,14.3473333333333333
10,PO19-3779_1015585,GLASS SIDE LOWER DRIVER MARKET 1,Advanced Purchase,0372265f2154782f73a35c8b71182420,,13/1/2020,,12,84,,13/1/2020,2019-12-04 00:00:00.000000,2020-12-18 16:15:35.127000,UK/Banbury/Main stores,1103.2633333333333333,
11,PO19-3779_1015591,GLASS UPPER FRONT ,Advanced Purchase,0372265f2154782f73a35c8b71182420,,13/1/2020,,12,84,Purchased,13/1/2020,2019-12-04 00:00:00.000000,2020-12-18 16:15:35.127000,UK/Banbury/Main stores,1103.2633333333333333,
12,PO19-3779_1015579,GLASS LH SIDE UPPER RR,Advanced Purchase,0372265f2154782f73a35c8b71182420,,13/1/2020,,12,84,Purchased,,2019-12-04 00:00:00.000000,2020-12-18 16:15:35.127000,UK/Banbury/Main stores,1103.2633333333333333,
13,PO19-3779_1015580,GLASS RH SIDE UPPER FR,Advanced Purchase,0372265f2154782f73a35c8b71182420,,13/1/2020,,12,84,Purchased,13/1/2020,2019-12-04 00:00:00.000000,2020-12-18 16:15:35.127000,UK/Banbury/Main stores,1103.2633333333333333,
14,PO19-3774_1000604,EXT LED HEADLIGHT WITH DIPPED BEAM AND DRL FRONT SIDE,Advanced Purchase,76451cb3705be3f97a604eba9a341b87,,23/12/2019,16/12/2019,4,28,Purchased,,2019-12-04 00:00:00.000000,2020-07-07 05:50:51.123000,UK/Banbury/Main stores,468,78
15,PO19-3779_1015577,GLASS DRIVER DOOR MARKET 1,Advanced Purchase,0372265f2154782f73a35c8b71182420,,13/1/2020,,12,84,,13/1/2020,2019-12-04 00:00:00.000000,2020-12-18 16:15:35.127000,UK/Banbury/Main stores,1103.2633333333333333,
